feature,decile,mean_w
logAT,6,0.07357419282197952
logAT,7,0.06820641458034515
logAT,8,0.05588182434439659
logAT,9,0.16299571096897125
LME,0,-0.00661221519112587
LME,1,0.028587307780981064
LME,2,0.041781947016716
LME,3,0.05891946703195572
LME,4,0.07092224061489105
LME,5,0.0794365406036377
LME,6,0.08468659222126007
LME,7,0.0955100953578949
LME,8,0.0989350974559784
LME,9,0.10728763788938522
LTN,0,-0.12269314378499985
LTN,1,-0.07782600820064545
LTN,2,-0.030822735279798508
LTN,3,0.07851342856884003
LTN,4,0.08959635347127914
LTN,5,0.1009664461016655
LTN,6,0.12098191678524017
LTN,7,0.14385893940925598
LTN,8,0.16754987835884094
LTN,9,0.18933163583278656
Rel2High,0,-0.16105541586875916
Rel2High,1,-0.0542210228741169
Rel2High,2,-0.0010487440740689635
Rel2High,3,0.03318728879094124
Rel2High,4,0.05260389298200607
Rel2High,5,0.0964236781001091
Rel2High,6,0.13242314755916595
Rel2High,7,0.1490945816040039
Rel2High,8,0.190569669008255
Rel2High,9,0.22147689759731293
Var20,0,0.039315901696681976
Var20,1,0.06348194181919098
Var20,2,0.07251670211553574
Var20,3,0.07625240087509155
Var20,4,0.07815315574407578
Var20,5,0.06947530061006546
Var20,6,
Var20,7,0.11727426946163177
Var20,8,0.03708910942077637
Var20,9,-0.012487019412219524
Alpha,0,-0.11561056971549988
Alpha,1,-0.02045554481446743
Alpha,2,0.01340636145323515
Alpha,3,0.03824625909328461
Alpha,4,0.06298708915710449
Alpha,5,0.15184026956558228
Alpha,6,0.09980811178684235
Alpha,7,0.1181514710187912
Alpha,8,0.14650903642177582
Alpha,9,0.16457533836364746
Beta,0,0.06381148099899292
Beta,1,0.07249632477760315
Beta,2,0.061729177832603455
Beta,3,0.06033140420913696
Beta,4,0.05553719773888588
Beta,5,0.12416369467973709
Beta,6,0.05229559540748596
Beta,7,0.05547592043876648
Beta,8,0.05522782355546951
Beta,9,0.04172984138131142
IdioVol,0,0.05563409999012947
IdioVol,1,0.06003320589661598
IdioVol,2,0.0687447190284729
IdioVol,3,0.06591083109378815
IdioVol,4,0.0629764199256897
IdioVol,5,0.06852908432483673
IdioVol,6,0.13006256520748138
IdioVol,7,0.06306752562522888
IdioVol,8,0.048030585050582886
IdioVol,9,-0.0020556729286909103
ResidVar,0,0.0627223551273346
ResidVar,1,0.0337991863489151
ResidVar,2,0.04049931839108467
ResidVar,3,0.06582812964916229
ResidVar,4,0.0862911194562912
ResidVar,5,0.0873882994055748
ResidVar,6,0.08144918084144592
ResidVar,7,0.13115783035755157
ResidVar,8,0.0472332201898098
ResidVar,9,-0.00743740564212203
